batch_id,mapping_id,load_ready_rows,target_rows,row_count_delta,matched_keys_pct,value_match_pct,null_delta_pct,duplicate_keys,orphan_records,amount_variance_usd,reconciliation_score,recon_status,blocker_reason,audit_query_id
CONV-UAT-04,MAP-01-01,238638,238436,-202,96.95,98.95,1.29,0,14,0,95.4,Pass,None,AUD-01-01
CONV-UAT-04,MAP-01-02,157029,157369,340,96.06,96.45,1.28,7,76,3567.54,91.6,Watch,Monitor variance before sign-off,AUD-01-02
CONV-UAT-04,MAP-01-03,81143,81039,-104,99.13,94.94,1.71,27,65,0,92.6,Watch,Monitor variance before sign-off,AUD-01-03
CONV-UAT-04,MAP-01-04,218758,218814,56,99.59,99.47,0.5,2,0,0,98.6,Pass,None,AUD-01-04
CONV-UAT-04,MAP-01-05,73521,73515,-6,99.98,97.89,0,0,0,1448.91,99.3,Pass,None,AUD-01-05
CONV-UAT-04,MAP-01-06,115889,115842,-47,99.12,99.0,0.47,0,26,731.61,97.9,Pass,None,AUD-01-06
CONV-UAT-04,MAP-01-07,36610,36635,25,97.91,97.59,0.76,12,12,0,95.7,Pass,None,AUD-01-07
CONV-UAT-04,MAP-01-08,91001,91093,92,97.66,97.31,1.37,25,5,0,94.5,Pass,None,AUD-01-08
CONV-UAT-04,MAP-02-01,223683,223482,-201,95.62,97.28,1.81,29,31,4069.32,93.5,Watch,Monitor variance before sign-off,AUD-02-01
CONV-UAT-04,MAP-02-02,209122,209398,276,98.49,97.72,0.53,10,0,0,95.7,Pass,None,AUD-02-02
CONV-UAT-04,MAP-02-03,46644,46644,0,99.28,97.66,0.4,3,20,0,98.1,Pass,None,AUD-02-03
CONV-UAT-04,MAP-02-04,37761,37736,-25,99.31,98.27,0.2,19,7,0,97.2,Pass,None,AUD-02-04
CONV-UAT-04,MAP-02-05,42448,42584,136,95.79,97.79,1.71,24,57,0,88.1,Watch,Monitor variance before sign-off,AUD-02-05
CONV-UAT-04,MAP-02-06,33370,33370,0,98.8,96.97,0.9,5,0,0,97.4,Pass,None,AUD-02-06
CONV-UAT-04,MAP-02-07,200607,202639,2032,93.72,93.31,1.95,43,83,0,74.8,Fail,Source extract defect,AUD-02-07
CONV-UAT-04,MAP-02-08,169828,169826,-2,98.46,98.43,0.38,0,13,0,98.4,Pass,None,AUD-02-08
CONV-UAT-04,MAP-03-01,157231,157635,404,99.61,97.77,1.4,13,27,0,92.5,Watch,Monitor variance before sign-off,AUD-03-01
CONV-UAT-04,MAP-03-02,79657,79507,-150,99.35,96.7,0.41,15,23,0,94.5,Pass,None,AUD-03-02
CONV-UAT-04,MAP-03-03,190326,190254,-72,98.25,99.09,0.13,3,0,0,98.3,Pass,None,AUD-03-03
CONV-UAT-04,MAP-03-04,121752,121972,220,98.25,94.27,1.54,24,40,0,92.0,Watch,Monitor variance before sign-off,AUD-03-04
CONV-UAT-04,MAP-03-05,180833,181050,217,98.72,99.09,0.39,2,45,0,96.4,Pass,None,AUD-03-05
CONV-UAT-04,MAP-03-06,36033,36042,9,98.21,99.46,0.96,1,0,0,97.5,Pass,None,AUD-03-06
CONV-UAT-04,MAP-03-07,229576,229560,-16,97.9,98.3,0.31,2,0,0,98.3,Pass,None,AUD-03-07
CONV-UAT-04,MAP-03-08,53203,53199,-4,100,98.52,0,3,18,0,99.1,Pass,None,AUD-03-08
CONV-UAT-04,MAP-04-01,87201,87241,40,98.13,98.52,0.37,3,0,0,97.6,Pass,None,AUD-04-01
CONV-UAT-04,MAP-04-02,29557,29542,-15,100,98.57,0.02,0,6,0,98.5,Pass,None,AUD-04-02
CONV-UAT-04,MAP-04-03,130115,130056,-59,98.38,98.38,0.9,0,10,0,96.9,Pass,None,AUD-04-03
CONV-UAT-04,MAP-04-04,114787,114796,9,98.35,98.29,0.52,9,31,0,97.8,Pass,None,AUD-04-04
CONV-UAT-04,MAP-04-05,28458,28447,-11,99.2,98.18,0.25,8,14,0,97.5,Pass,None,AUD-04-05
CONV-UAT-04,MAP-04-06,124529,123716,-813,97.99,95.26,2.5,37,86,0,82.0,Fail,Source extract defect,AUD-04-06
CONV-UAT-04,MAP-04-07,126080,126265,185,99.61,98.2,0.15,28,31,0,96.1,Pass,None,AUD-04-07
CONV-UAT-04,MAP-04-08,230533,230376,-157,98.76,99.06,0.11,0,25,0,97.8,Pass,None,AUD-04-08
CONV-UAT-04,MAP-05-01,70316,70334,18,98.45,96.88,0.39,25,22,0,97.0,Pass,None,AUD-05-01
CONV-UAT-04,MAP-05-02,68627,68632,5,98.22,98.97,0.95,10,0,0,97.6,Pass,None,AUD-05-02
CONV-UAT-04,MAP-05-03,196131,196199,68,99.75,98.41,0.45,3,17,548.12,98.1,Pass,None,AUD-05-03
CONV-UAT-04,MAP-05-04,87590,87631,41,99.01,97.66,0.9,0,26,0,96.7,Pass,None,AUD-05-04
CONV-UAT-04,MAP-05-05,48315,48227,-88,98.0,97.0,1.97,41,41,1941.78,91.0,Watch,Monitor variance before sign-off,AUD-05-05
